SNo,Rank,Allotted Quota,Allotted Institute,Course,Alloted Category,candidate Category,option No.,Remarks
6786,11044,All India,"KARNATAK INST. OF MEDICAL SC.,HUBLI , VIDYANAGAR HUBBALLI,
Karnataka, 580021",MBBS,OBC,OBC,68,Fresh Allotted in 2nd Round
6787,11045,All India,"PT. B.D. SHARMA PGIMS, ROHTAK ,
Pt. B.D. Sharma PGIMS, Rohtak, Haryana, 124001",MBBS,OBC,OBC,28,Fresh Allotted in 2nd Round
6788,11046,All India,"Govt Medical College Barmer Rajasthan , NH-15, JAISALMER ROAD, VILLAGE- JALIPA, BARMER",MBBS,OBC,OBC,17,Fresh Allotted in 2nd Round
6789,11048,All India,"Jawaharlal Nehru Medical College, Bhagalpur , SUKHRAJ RAI PATH, BHAGALPUR, Bihar, 812001",MBBS,OBC,OBC,69,Fresh Allotted in 2nd Round
6790,11049,All India,"Govt. Medical College, Kannauj , Tirwa Road, Kannauj, Uttar Pradesh, 209732",MBBS,EWS,EWS,34,Fresh Allotted in 2nd Round
6791,11050,All India,"VARDHMAN INSTITUTE OF MEDICAL SCIENCES, NALANDA , PAWAPURI NALNADA, Bihar, 803115",MBBS,OBC,OBC,58,Fresh Allotted in 2nd Round
6792,11051,-,-,-,-,-,-,Not Allotted.
6793,11052,All India,"GOA MEDICAL COLLEGE, PANAJI , RAJIV GANDHI MEDICAL COMPLEX, BAMBOLIM, GOA, Goa, 403202",MBBS,OBC,OBC,19,Fresh Allotted in 2nd Round
6794,11053,-,-,-,-,-,-,No Upgradation
6795,11054,All India,"DR.S.C.GOVT MEDICAL COLLEGE,,NANDED
, VISHNUPURI NANDED MAHARASHTRA
431606, Maharashtra,
431606",MBBS,Open,GN,88,Fresh Allotted in 2nd Round
6796,11056,-,-,-,-,-,-,Did not fill up fresh choices.
6797,11060,-,-,-,-,-,-,Not Allotted.
6798,11061,-,-,-,-,-,-,Did not fill up fresh choices.
6799,11062,All India,"S.S. MEDICAL COLLEGE, REWA ,
NEAR DHOBIYA TANKI, JAIL ROAD,
REWA, Madhya Pradesh, 486001",MBBS,EWS,EWS,65,Fresh Allotted in 2nd Round
6800,11063,-,-,-,-,-,-,Did not opt for Upgradation.
6801,11065,All India,"ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE, VIDISHA , NH 86 INFRONT OF KHEL PARISAR SANCHI ROAD VIDISHA,
Madhya Pradesh, 464001",MBBS,Open,GN,13,Fresh Allotted in 2nd Round
6802,11066,-,-,-,-,-,-,Did not fill up fresh choices.
6803,11067,All India,"Govt Medical College Baramati , Plot No P107 MIDC area Opposite Women Hospital Baramati Taluka Baramati District Pune, Maharashtra, 413133",MBBS,Open,GN,40,Fresh Allotted in 2nd Round
6804,11069,All India,"COIMBATORE MEDICAL COLLEGE,COIMBAT ORE , CIVIL AERODROME POST, AVINASHI ROAD, PEELAMEDU, COIMBATORE, Tamil Nadu, 641014",MBBS,OBC,OBC,56,Fresh Allotted in 2nd Round
6805,11072,All India,"Govt Medical College, Dungarpur ,
VILLAGE- THANA DUNGARPUR,
Rajasthan, 314001",MBBS,Open,GN,87,Fresh Allotted in 2nd Round
6806,11075,-,-,-,-,-,-,Not Allotted.
6807,11076,All India,"ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE, GAYA , SHERGHATIROAD, GAYA, Bihar, 823001",MBBS,Open,OBC,49,Fresh Allotted in 2nd Round
6808,11077,All India,"Govt Medical College, Ernakulam , HMT COLONY  P O, KALAMASSERY, ERNAKULAM
DISTRICT, Kerala, 683503",MBBS,Open,GN,22,Fresh Allotted in 2nd Round
6809,11078,-,-,-,-,-,-,Not Allotted.
6810,11079,All India,"SRI KRISHNA MEDICAL COLLEGE, MUZAFFARPUR , UMANAGAR MUZAFFARPUR,
Bihar, 842004",MBBS,Open,GN,9,Fresh Allotted in 2nd Round
6811,11080,-,-,-,-,-,-,Not Allotted.
6812,11081,All India,"Govt. Medical College, Kannauj , Tirwa Road, Kannauj, Uttar Pradesh, 209732",MBBS,EWS,EWS,25,Fresh Allotted in 2nd Round
6813,11085,All India,"Govt Medical College, Dungarpur ,
VILLAGE- THANA DUNGARPUR,
Rajasthan, 314001",MBBS,Open,OBC,39,Fresh Allotted in 2nd Round
6814,11086,All India,"BURDWAN MEDICAL COLLEGE,BURDWA N , BURDWAN MEDICAL COLLEGE, BABURBAG, POST- RAJBATI, DIST- PURBA BARDHAMAN, PIN- 713104,WEST BENGAL, West
Bengal, 713104",MBBS,Open,OBC,28,Fresh Allotted in 2nd Round
6815,11087,All India,"GOVERNMENT MEDICAL COLLEGE, SRIGANGANAGAR, RAJASTHAN ,
Government Medical college sriganganagar rajasthan, Rajasthan, 335001",MBBS,Open,OBC,30,Fresh Allotted in 2nd Round
6816,11088,-,-,-,-,-,-,No Upgradation
6817,11089,All India,"Govt Medical College, Dungarpur ,
VILLAGE- THANA DUNGARPUR,
Rajasthan, 314001",MBBS,Open,OBC,73,Fresh Allotted in 2nd Round
6818,11091,-,-,-,-,-,-,Did not opt for Upgradation.
6819,11092,-,-,-,-,-,-,Did not fill up fresh choices.
6820,11093,All India,"Government Medical College Chittorgarh  , Government Medical College Chittorgarh Bojunda - Udaipur Road Chittorgarh, Rajasthan, 312025",MBBS,Open,GN,89,Fresh Allotted in 2nd Round
6821,11094,All India,"BUNDELKHAND MEDICAL COLLEGE,
SAGAR , Shivaji ward, tili Road, Sagar, Madhya Pradesh, 470001",MBBS,Open,GN,73,Fresh Allotted in 2nd Round
6822,11095,All India,"Govt Medical College Baramati , Plot No P107 MIDC area Opposite Women Hospital Baramati Taluka Baramati District Pune, Maharashtra, 413133",MBBS,Open,EWS,40,Fresh Allotted in 2nd Round
6823,11098,All India,"S.S. MEDICAL COLLEGE, REWA ,
NEAR DHOBIYA TANKI, JAIL ROAD,
REWA, Madhya Pradesh, 486001",MBBS,OBC,OBC,68,Fresh Allotted in 2nd Round
6824,11099,All India,"GMC, Manjeri, Kerala
, GOVERNMENT MEDICAL COLLEGE, MANJERI, MALAPPURAM,
Kerala, 676121",MBBS,Open,GN,1,Fresh Allotted in 2nd Round
6825,11102,All India,"Govt Medical College Barmer Rajasthan , NH-15, JAISALMER ROAD, VILLAGE- JALIPA, BARMER",MBBS,OBC,OBC,19,Fresh Allotted in 2nd Round
6826,11104,All India,"GMC, Manjeri, Kerala
, GOVERNMENT MEDICAL COLLEGE, MANJERI, MALAPPURAM,
Kerala, 676121",MBBS,Open,GN,30,Fresh Allotted in 2nd Round
6827,11107,All India,"Govt Medical College, Dungarpur ,
VILLAGE- THANA DUNGARPUR,
Rajasthan, 314001",MBBS,Open,OBC,53,Fresh Allotted in 2nd Round
6828,11109,All India,"COLLEGE OF MEDICINE and JNM HOSPITAL, KALYANI
, A BlockPS- KalyaniDistrict - Nadia,West Bengal,Pin 741235",MBBS,Open,GN,77,Fresh Allotted in 2nd Round
6829,11111,-,-,-,-,-,-,No Upgradation
6830,11112,-,-,-,-,-,-,Not Allotted.
6831,11113,-,-,-,-,-,-,Did not fill up fresh choices.
6832,11115,All India,"Govt Medical College Firozabad , DAULATTAPUR JALESHAR ROAD NARKHI FIROZABAD, Uttar
Pradesh, 283203",MBBS,Open,GN,36,Fresh Allotted in 2nd Round
6833,11116,All India,"Govt Medical College Badaun , Gunera Wazidpur Ujhani Road Badaun U.P.
243601",MBBS,Open,GN,40,Fresh Allotted in 2nd Round
6834,11119,All India,"COIMBATORE MEDICAL COLLEGE,COIMBAT ORE , CIVIL AERODROME POST, AVINASHI ROAD, PEELAMEDU, COIMBATORE, Tamil Nadu, 641014",MBBS,OBC,OBC,27,Fresh Allotted in 2nd Round
6835,11120,All India,"Siddartha Medical College, Vijayawada , Beside New Government General Hospital Gunadala Vijayawada, Andhra Pradesh, 520008",MBBS,Open,GN,9,Fresh Allotted in 2nd Round
6836,11121,All India,"GOVERNMENT MEDICAL COLLEGE,
MIRAJ , Pandharpur Road Miraj tal Miraj Dist sangli, Maharashtra, 416410",MBBS,Open,OBC,62,Fresh Allotted in 2nd Round
6837,11122,-,-,-,-,-,-,Not Allotted.
6838,11124,All India,"Govt Medical College, Ernakulam , HMT COLONY  P O, KALAMASSERY, ERNAKULAM
DISTRICT, Kerala, 683503",MBBS,Open,GN,6,Fresh Allotted in 2nd Round
6839,11126,-,-,-,-,-,-,Did not opt for Upgradation.
6840,11128,All India,"GOVERNMENT MEDICAL COLLEGE, SRIGANGANAGAR, RAJASTHAN ,
Government Medical college sriganganagar rajasthan, Rajasthan, 335001",MBBS,Open,OBC,33,Fresh Allotted in 2nd Round
6841,11130,All India,"Govt. Medical College, Jammu , GOVERNMENT MEDICAL COLLEGE, BAKSHI NAGAR, JAMMU 180001,
Jammu And Kashmir, 180001",MBBS,OBC,OBC,82,Fresh Allotted in 2nd Round
6842,11131,-,-,-,-,-,-,Not Allotted.
6843,11132,-,-,-,-,-,-,No Upgradation
6844,11137,All India,"GMC, Azamgarh, UP
, Government Medical College and Super Facility Hospital Chakrapanpur Post Office-Kanaila Azamgarh, Uttar Pradesh, 276128",MBBS,Open,GN,100,Fresh Allotted in 2nd Round
6845,11141,All India,"Sri Venkateswara Medical College, Tirupati , NEAR VIVEKANDANDA CIRCLE, ALIPIRI ROAD TIRUPATI,
Andhra Pradesh, 517507",MBBS,Open,GN,3,Fresh Allotted in 2nd Round
6846,11142,All India,"GOVERNMENT MEDICAL COLLEGE,
MIRAJ , Pandharpur Road Miraj tal Miraj Dist sangli, Maharashtra, 416410",MBBS,Open,OBC,61,Fresh Allotted in 2nd Round
6847,11143,All India,"VARDHMAN INSTITUTE OF MEDICAL SCIENCES, NALANDA , PAWAPURI NALNADA, Bihar, 803115",MBBS,OBC,OBC,29,Fresh Allotted in 2nd Round
6848,11144,All India,"ESIC Medical College AND PGIMSR,
Chennai , ASHOK PILLAR ROAD KK NAGAR
CHENNAI, Tamil Nadu, 600078",MBBS,Open,GN,79,Fresh Allotted in 2nd Round
6849,11146,-,-,-,-,-,-,Not Allotted.
6850,11150,All India,"ESI-MC&PGIMS&R,
Banglore , ESICMC AND PGIMSR,
Rajajinagar, Bengaluru, Karnataka, 560010",MBBS,OBC,OBC,67,Fresh Allotted in 2nd Round
6851,11152,All India,"Govt Medical College Faizabad  , GANJA, PARGANA- HAVELI AWADH, TAHSIL- SADAR AYODHYA (FAIZABAD), Uttar
Pradesh, 224001",MBBS,OBC,OBC,44,Fresh Allotted in 2nd Round
6852,11154,All India,"Dr.Radhakrishnan Government Medical College, Hamirpur , Agriculture Colony, Hamirpur, Himachal Pradesh 177001",MBBS,EWS,EWS,54,Fresh Allotted in 2nd Round
6853,11155,All India,"Shri Vinobha Bhave Institute Medical Sciences , SSR College Campus, Sayli Road, Silvassa, Dadra And Nagar Haveli, 396230",MBBS,Open,EWS,23,Fresh Allotted in 2nd Round
6854,11157,All India,"GOA MEDICAL COLLEGE, PANAJI , RAJIV GANDHI MEDICAL COMPLEX, BAMBOLIM, GOA, Goa, 403202",MBBS,OBC,OBC,57,Fresh Allotted in 2nd Round
6855,11158,All India,"BURDWAN MEDICAL COLLEGE,BURDWA N , BURDWAN MEDICAL COLLEGE, BABURBAG, POST- RAJBATI, DIST- PURBA BARDHAMAN, PIN- 713104,WEST BENGAL, West
Bengal, 713104",MBBS,OBC,OBC,64,Fresh Allotted in 2nd Round
6856,11160,All India,"GMC, Azamgarh, UP
, Government Medical College and Super Facility Hospital Chakrapanpur Post Office-Kanaila Azamgarh, Uttar Pradesh, 276128",MBBS,EWS,EWS,32,Fresh Allotted in 2nd Round
6857,11163,All India,"T.D. MEDICAL COLLEGE,
ALLAPPUZHA , GOVERNMENT T.D.MEDICAL COLLEGE, VANDANAM.PO, ALAPPUZHA, Kerala, 688005",MBBS,OBC,OBC,51,Fresh Allotted in 2nd Round
6858,11164,-,-,-,-,-,-,Did not opt for Upgradation.
6859,11165,All India,"GOVERNMENT MEDICAL COLLEGE,
MIRAJ , Pandharpur Road Miraj tal Miraj Dist sangli, Maharashtra, 416410",MBBS,Open,OBC,46,Fresh Allotted in 2nd Round
6860,11167,All India,"MAHARAJA K.C. GAJAPATI M.C.,BRAHMAPUR , MKCG MEDICAL COLLEGE CAMPUS, BERHAMPUR,
GANJAM, Odisha, 760004",MBBS,Open,OBC,15,Fresh Allotted in 2nd Round
6861,11168,-,-,-,-,-,-,Not Allotted.
6862,11170,-,-,-,-,-,-,No Upgradation
6863,11171,-,-,-,-,-,-,Not Allotted.
6864,11173,-,-,-,-,-,-,Not Allotted.
6865,11178,All India,"GMC, Manjeri, Kerala
, GOVERNMENT MEDICAL COLLEGE, MANJERI, MALAPPURAM,
Kerala, 676121",MBBS,Open,GN,31,Fresh Allotted in 2nd Round
6866,11179,All India,"NORTH BENGAL MED.COLL,DARJEE
LING , Sushruta Nagar, Darjeeling., West Bengal, 734012",MBBS,Open,GN,71,Fresh Allotted in 2nd Round
6867,11180,All India,"Indira Gandhi Medical College & RI, Puducherry , Vazhudavour Road, Kadirkamam, Puducherry, 605009",MBBS,Open,GN,29,Fresh Allotted in 2nd Round
6868,11181,All India,"Jawaharlal Nehru Medical College, Bhagalpur , SUKHRAJ RAI PATH, BHAGALPUR, Bihar, 812001",MBBS,EWS,EWS,19,Fresh Allotted in 2nd Round
6869,11182,All India,"BURDWAN MEDICAL COLLEGE,BURDWA N , BURDWAN MEDICAL COLLEGE, BABURBAG, POST- RAJBATI, DIST- PURBA BARDHAMAN, PIN- 713104,WEST BENGAL, West
Bengal, 713104",MBBS,OBC,OBC,77,Fresh Allotted in 2nd Round
6870,11183,All India,"ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE, VIDISHA , NH 86 INFRONT OF KHEL PARISAR SANCHI ROAD VIDISHA,
Madhya Pradesh, 464001",MBBS,Open,GN,73,Fresh Allotted in 2nd Round
6871,11184,All India,"BUNDELKHAND MEDICAL COLLEGE,
SAGAR , Shivaji ward, tili Road, Sagar, Madhya Pradesh, 470001",MBBS,Open,GN,45,Fresh Allotted in 2nd Round
6872,11185,-,-,-,-,-,-,Not Allotted.
6873,11186,All India,"GMC, Manjeri, Kerala
, GOVERNMENT MEDICAL COLLEGE, MANJERI, MALAPPURAM,
Kerala, 676121",MBBS,Open,GN,7,Fresh Allotted in 2nd Round
6874,11193,All India,"Pt. J N M MEDICAL COLLEGE, RAIPUR ,
In front of Central Jail, Jail Road Raipur C.G., Chhattisgarh, 492001",MBBS,EWS,EWS,79,Fresh Allotted in 2nd Round
6875,11197,All India,"DR. VAISHAMPAYAM MEMORIAL M.C.,SHOLAPUR , In
Front of District Civil Court, Solapur., Maharashtra, 413003",MBBS,Open,OBC,37,Fresh Allotted in 2nd Round
6876,11199,-,-,-,-,-,-,No Upgradation
6877,11203,All India,"Government Medical College, ESIC, Kollam , Parippally Kollam 691574,
Kerala, 691574",MBBS,Open,GN,20,Fresh Allotted in 2nd Round
6878,11205,All India,"MANDYA INST. OF MEDICAL SCI., MANDYA , BANGALORE- MYSORE MAIN ROAD, MANDYA,
Karnataka, 571401",MBBS,Open,GN,85,Fresh Allotted in 2nd Round
6879,11208,All India,"S.S. MEDICAL COLLEGE, REWA ,
NEAR DHOBIYA TANKI, JAIL ROAD,
REWA, Madhya Pradesh, 486001",MBBS,OBC,OBC,52,Fresh Allotted in 2nd Round
6880,11209,-,-,-,-,-,-,Not Allotted.
6881,11210,All India,"MAHARAJA K.C. GAJAPATI M.C.,BRAHMAPUR , MKCG MEDICAL COLLEGE CAMPUS, BERHAMPUR,
GANJAM, Odisha, 760004",MBBS,Open,GN,39,Fresh Allotted in 2nd Round
6882,11211,All India,"Lt. L A M Govt. Medical College, Raigarh , T.V.Tower road, Bendrachua, Raigarh, Chhattisgarh, 496001",MBBS,Open,GN,59,Fresh Allotted in 2nd Round
6883,11213,All India,"Govt Medical College, Dungarpur ,
VILLAGE- THANA DUNGARPUR,
Rajasthan, 314001",MBBS,Open,OBC,49,Fresh Allotted in 2nd Round
6884,11214,-,-,-,-,-,-,Did not fill up fresh choices.
6885,11215,Open Seat Quota,"AIIMS, Raipur , Tatibandh, G E Road, Raipur
Chhattisgarh, Pin - 492099, Chhattisgarh,
492099",MBBS,SC,SC,3,Upgraded
6886,11217,All India,"Dr. B.R. Ambedkar State Institute of Medical Sciences  , Sector 56 Mohali,
Punjab, 160055",MBBS,OBC,OBC,54,Fresh Allotted in 2nd Round
6887,11218,All India,"DR. VAISHAMPAYAM MEMORIAL M.C.,SHOLAPUR , In
Front of District Civil Court, Solapur., Maharashtra, 413003",MBBS,Open,OBC,56,Fresh Allotted in 2nd Round
6888,11219,All India,"BUNDELKHAND MEDICAL COLLEGE,
SAGAR , Shivaji ward, tili Road, Sagar, Madhya Pradesh, 470001",MBBS,Open,GN,29,Fresh Allotted in 2nd Round
6889,11220,-,-,-,-,-,-,Did not fill up fresh choices.
6890,11221,All India,"Kalpana Chawla Govt. Medical College, Karnal , Kalpana Chawla Govt. Medical College,Karnal, Haryana, Haryana, 132001",MBBS,OBC,OBC,40,Fresh Allotted in 2nd Round
6891,11222,All India,"BUNDELKHAND MEDICAL COLLEGE,
SAGAR , Shivaji ward, tili Road, Sagar, Madhya Pradesh, 470001",MBBS,OBC,OBC,32,Fresh Allotted in 2nd Round
6892,11223,-,-,-,-,-,-,Not Allotted.
6893,11224,All India,"Govt Medical College Firozabad , DAULATTAPUR JALESHAR ROAD NARKHI FIROZABAD, Uttar
Pradesh, 283203",MBBS,Open,GN,73,Fresh Allotted in 2nd Round
6894,11229,All India,"Govt Medical College Barmer Rajasthan , NH-15, JAISALMER ROAD, VILLAGE- JALIPA, BARMER",MBBS,OBC,OBC,47,Fresh Allotted in 2nd Round
6895,11234,-,-,-,-,-,-,Did not opt for Upgradation.
6896,11235,-,-,-,-,-,-,No Upgradation
6897,11236,All India,"ESI-MC&PGIMS&R,
Banglore , ESICMC AND PGIMSR,
Rajajinagar, Bengaluru, Karnataka, 560010",MBBS,OBC,OBC,29,Fresh Allotted in 2nd Round
6898,11237,All India,"T.D. MEDICAL COLLEGE,
ALLAPPUZHA , GOVERNMENT T.D.MEDICAL COLLEGE, VANDANAM.PO, ALAPPUZHA, Kerala, 688005",MBBS,OBC,OBC,23,Fresh Allotted in 2nd Round
6899,11241,All India,"GOVERNMENT MEDICAL COLLEGE, SRIGANGANAGAR, RAJASTHAN ,
Government Medical college sriganganagar rajasthan, Rajasthan, 335001",MBBS,Open,OBC,23,Fresh Allotted in 2nd Round
6900,11242,All India,"DR. VAISHAMPAYAM MEMORIAL M.C.,SHOLAPUR , In
Front of District Civil Court, Solapur., Maharashtra, 413003",MBBS,Open,GN,57,Fresh Allotted in 2nd Round
6901,11243,-,-,-,-,-,-,Not Allotted.
6902,11246,All India,"S.S. MEDICAL COLLEGE, REWA ,
NEAR DHOBIYA TANKI, JAIL ROAD,
REWA, Madhya Pradesh, 486001",MBBS,OBC,OBC,28,Fresh Allotted in 2nd Round
6903,11247,All India,"Govt Medical College, Dungarpur ,
VILLAGE- THANA DUNGARPUR,
Rajasthan, 314001",MBBS,Open,OBC,37,Fresh Allotted in 2nd Round
6904,11248,All India,"Government Medical College, Dholpur , 411, OLD BARI ROAD, DHOLPUR,
Rajasthan, 328001",MBBS,Open,OBC,35,Fresh Allotted in 2nd Round
6905,11249,-,-,-,-,-,-,Not Allotted.
6906,11252,All India,"NORTH BENGAL MED.COLL,DARJEE
LING , Sushruta Nagar, Darjeeling., West Bengal, 734012",MBBS,Open,GN,52,Fresh Allotted in 2nd Round
6907,11253,All India,"S.S. MEDICAL COLLEGE, REWA ,
NEAR DHOBIYA TANKI, JAIL ROAD,
REWA, Madhya Pradesh, 486001",MBBS,OBC,OBC,55,Fresh Allotted in 2nd Round
6908,11254,All India,"BURDWAN MEDICAL COLLEGE,BURDWA N , BURDWAN MEDICAL COLLEGE, BABURBAG, POST- RAJBATI, DIST- PURBA BARDHAMAN, PIN- 713104,WEST BENGAL, West
Bengal, 713104",MBBS,OBC,OBC,54,Fresh Allotted in 2nd Round
6909,11255,All India,"UTTARANCHAL F HOSP TRUST MC,HALDWANI ,
Government Medical College, Rampur Road Haldwani, Distt.
Nainiatl, Uttarakhand, 263139",MBBS,OBC,OBC,65,Fresh Allotted in 2nd Round
6910,11257,-,-,-,-,-,-,Not Allotted.
6911,11259,All India,"Govt Medical College Faizabad  , GANJA, PARGANA- HAVELI AWADH, TAHSIL- SADAR AYODHYA (FAIZABAD), Uttar
Pradesh, 224001",MBBS,OBC,OBC,43,Fresh Allotted in 2nd Round
6912,11267,All India,"Govt Medical College Ratlam , Gram Banjali, Sailana Road, NH927A, Madhya Pradesh 457001, India, Madhya Pradesh, 457001",MBBS,Open,GN,68,Fresh Allotted in 2nd Round
6913,11272,-,-,-,-,-,-,Did not opt for Upgradation.
6914,11273,All India,"Shaheed Nirmal Mahto Medical College & Hospital, Dhanbad , PO BCCL TOWNSHIP KOYLANAGAR DHANBAD,
Jharkhand, 826005",MBBS,OBC,OBC,21,Fresh Allotted in 2nd Round
6915,11274,-,-,-,-,-,-,Not Allotted.
6916,11277,All India,"THANJAVUR MEDICAL COLL.,THANJAVUR ,
Thanjavur Medical College,Thanjavur, Tamil Nadu, 613004",MBBS,Open,GN,73,Fresh Allotted in 2nd Round
6917,11280,All India,"Autonomous State Medical College ,Etah
, NAGLA PADIHAR SIRAO MAHARARA LINK, PAC ROAD, SAKEET, ETAH,U.P.-
207001, Uttar
Pradesh, 207001",MBBS,Open,OBC,57,Fresh Allotted in 2nd Round
6918,11281,-,-,-,-,-,-,Not Allotted.
6919,11286,-,-,-,-,-,-,No Upgradation
6920,11291,All India,"GOA MEDICAL COLLEGE, PANAJI , RAJIV GANDHI MEDICAL COMPLEX, BAMBOLIM, GOA, Goa, 403202",MBBS,OBC,OBC,28,Fresh Allotted in 2nd Round
6921,11293,All India,"BUNDELKHAND MEDICAL COLLEGE,
SAGAR , Shivaji ward, tili Road, Sagar, Madhya Pradesh, 470001",MBBS,OBC,OBC,14,Fresh Allotted in 2nd Round
6922,11294,-,-,-,-,-,-,Did not fill up fresh choices.
6923,11296,All India,"Govt Medical College, Dungarpur ,
VILLAGE- THANA DUNGARPUR,
Rajasthan, 314001",MBBS,OBC,OBC,27,Fresh Allotted in 2nd Round
6924,11298,All India,"BUNDELKHAND MEDICAL COLLEGE,
SAGAR , Shivaji ward, tili Road, Sagar, Madhya Pradesh, 470001",MBBS,OBC,OBC,69,Fresh Allotted in 2nd Round
6925,11301,All India,"BANKURA SAMMILANI MED COLL,BANKURA ,
Principal, Bankura Sammilani Medical College, Lokepur, PO- Kenduadihi, Bankura, Pin-
722102, West Bengal,
722102",MBBS,Open,GN,16,Fresh Allotted in 2nd Round
6926,11303,All India,"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES, BILASP , GOND PARA, SADAR BAZAAR BILASPUR - 495001
(CG), Chhattisgarh, 495001",MBBS,Open,OBC,70,Fresh Allotted in 2nd Round
6927,11304,All India,"Government Medical College Chittorgarh  , Government Medical College Chittorgarh Bojunda - Udaipur Road Chittorgarh, Rajasthan, 312025",MBBS,Open,GN,47,Fresh Allotted in 2nd Round
6928,11310,All India,"VARDHMAN INSTITUTE OF MEDICAL SCIENCES, NALANDA , PAWAPURI NALNADA, Bihar, 803115",MBBS,OBC,OBC,3,Fresh Allotted in 2nd Round
6929,11311,-,-,-,-,-,-,Did not fill up fresh choices.
6930,11319,All India,"Government Medical College, ESIC, Kollam , Parippally Kollam 691574,
Kerala, 691574",MBBS,Open,GN,5,Fresh Allotted in 2nd Round
6931,11321,All India,"KARNATAK INST. OF MEDICAL SC.,HUBLI , VIDYANAGAR HUBBALLI,
Karnataka, 580021",MBBS,OBC,OBC,57,Fresh Allotted in 2nd Round
6932,11322,All India,"BUNDELKHAND MEDICAL COLLEGE,
SAGAR , Shivaji ward, tili Road, Sagar, Madhya Pradesh, 470001",MBBS,OBC,OBC,32,Fresh Allotted in 2nd Round
6933,11323,-,-,-,-,-,-,Not Allotted.
6934,11325,All India,"Siddartha Medical College, Vijayawada , Beside New Government General Hospital Gunadala Vijayawada, Andhra Pradesh, 520008",MBBS,Open,GN,17,Upgraded
6935,11327,All India,"Govt Medical College, Dungarpur ,
VILLAGE- THANA DUNGARPUR,
Rajasthan, 314001",MBBS,OBC,OBC,44,Fresh Allotted in 2nd Round
6936,11328,-,-,-,-,-,-,Not Allotted.
6937,11329,All India,"Govt Medical College, Dungarpur ,
VILLAGE- THANA DUNGARPUR,
Rajasthan, 314001",MBBS,OBC,OBC,40,Fresh Allotted in 2nd Round
6938,11332,All India,"BUNDELKHAND MEDICAL COLLEGE,
SAGAR , Shivaji ward, tili Road, Sagar, Madhya Pradesh, 470001",MBBS,OBC,OBC,35,Fresh Allotted in 2nd Round
6939,11334,All India,"ESIC Medical College, Gulbarga , ESIC MEDICAL COLLEGE
SEDAM ROAD GULBARGA,
Karnataka, 585106",MBBS,Open,GN,62,Fresh Allotted in 2nd Round
6940,11340,All India,"ESIC Medical College & Hospital, Bihta , ESIC Medical College and Hospital
Bihta
Patna, Bihar, 801103",MBBS,Open,GN,34,Fresh Allotted in 2nd Round
6941,11341,-,-,-,-,-,-,Did not fill up fresh choices.
6942,11343,All India,"Govt Medical College Badaun , Gunera Wazidpur Ujhani Road Badaun U.P.
243601",MBBS,Open,GN,36,Fresh Allotted in 2nd Round
6943,11344,-,-,-,-,-,-,Did not opt for Upgradation.
6944,11347,-,-,-,-,-,-,Did not opt for Upgradation.
6945,11351,-,-,-,-,-,-,Not Allotted.
6946,11352,-,-,-,-,-,-,Not Allotted.
6947,11353,All India,"Govt Medical College Badaun , Gunera Wazidpur Ujhani Road Badaun U.P.
243601",MBBS,Open,GN,3,Fresh Allotted in 2nd Round
6948,11354,-,-,-,-,-,-,Did not fill up fresh choices.
6949,11355,All India,"GUNTUR MEDICAL COLLEGE, GUNTUR
, Kannavarithoa Opp. NGOs Association Building, Andhra Pradesh, 522004",MBBS,EWS,EWS,52,Fresh Allotted in 2nd Round
6950,11358,All India,"NEIGRIHMS, SHILLONG ,
Mawdiangdiang Shillong East Khasi Hills District, Meghalaya, 793018",MBBS,Open,OBC,30,Fresh Allotted in 2nd Round
6951,11359,-,-,-,-,-,-,Did not fill up fresh choices.
6952,11361,All India,"GOA MEDICAL COLLEGE, PANAJI , RAJIV GANDHI MEDICAL COMPLEX, BAMBOLIM, GOA, Goa, 403202",MBBS,EWS,EWS,6,Fresh Allotted in 2nd Round
6953,11365,-,-,-,-,-,-,Not Allotted.
6954,11367,All India,"Government Medical College, Bharatpur , Rampura, NH- 21,Sever Road,Bharatpur,Raja sthan, Rajasthan, 321001",MBBS,EWS,EWS,15,Fresh Allotted in 2nd Round
6955,11368,-,-,-,-,-,-,Did not fill up fresh choices.
6956,11369,All India,"MADURAI MEDICAL COLLEGE, MADURAI , PANAGAL ROAD
MADURAI, Tamil Nadu, 625020",MBBS,OBC,OBC,1,Fresh Allotted in 2nd Round
6957,11371,-,-,-,-,-,-,Did not fill up fresh choices.
6958,11376,-,-,-,-,-,-,Not Allotted.
6959,11377,All India,"Rani Durgavati Medical College, Banda , RANI DURGAVATI MEDICAL COLLEGE, NARAINI ROAD, BANDA-210001, Uttar
Pradesh, 210001",MBBS,Open,GN,28,Fresh Allotted in 2nd Round
6960,11380,-,-,-,-,-,-,Not Allotted.
6961,11381,-,-,-,-,-,-,No Upgradation
6962,11382,-,-,-,-,-,-,Did not fill up fresh choices.
6963,11383,All India,"GOVT. MEDICAL COLLEGE,AURANG
ABAD , Government Medical College, Aurangabad, Jubli Park, Panchakki Road, Aurangabad (M.S.).",MBBS,EWS,EWS,34,Fresh Allotted in 2nd Round
