SNo,Rank,Allotted Quota,Allotted Institute,Course,Remarks,Alloted Category,candidate Category,option No.
2454,2834,Open Seat Quota,"AIIMS, Rai Bareli",MBBS,Not Reported,-,-,-
2455,2835,Delhi University Quota,"University College of Medical Sciences, New Delhi",MBBS,Reported,-,-,-
2456,2838,-,-,-,-,OBC,OBC,2
2457,2840,Open Seat Quota,JIPMER KARAIKAL,MBBS,Not Reported,-,-,-
2458,2842,All India,Gandhi Medical College Musheerabad Secunderabad,MBBS,Reported,-,-,-
2459,2843,All India,"PATNA MEDICAL COLLEGE, PATNA",MBBS,Reported,-,-,-
2460,2846,All India,"GOVT. MEDICAL COLLEGE,PATIALA",MBBS,Not Reported,-,-,-
2461,2847,Delhi University Quota,"University College of Medical Sciences, New Delhi",MBBS,Reported,-,-,-
2462,2849,All India,"BAHIRAMJEE JIJIBHAI MEDICAL COLLGE, PUNE",MBBS,Reported,EWS,EWS,4
2463,2850,-,-,-,-,Open,GN,5
2464,2851,Delhi University Quota,"University College of Medical Sciences, New Delhi",MBBS,Reported,-,-,-
2465,2852,Open Seat Quota,"AIIMS, Gorakhpur",MBBS,Reported,-,-,-
2466,2853,All India,"PATNA MEDICAL COLLEGE, PATNA",MBBS,Reported,-,-,-
2467,2854,Open Seat Quota,"AIIMS, Bibi Nagar, Hyderabad",MBBS,Not Reported,-,-,-
2468,2855,Delhi University Quota,"University College of Medical Sciences, New Delhi",MBBS,Reported,-,-,-
2469,2856,All India,"STANLEY MEDICAL COLLEGE, CHENNAI",MBBS,Not Reported,-,-,-
2470,2857,Open Seat Quota,"AIIMS, Rai Bareli",MBBS,Reported,-,-,-
2471,2858,All India,"COIMBATORE MEDICAL COLLEGE,COIMBAT ORE",MBBS,Not Reported,-,-,-
2472,2859,All India,"INST OF PG MED EDU & RESEARCH,KOLKAT A",MBBS,Reported,-,-,-
2473,2860,Open Seat Quota,AIIMS Rajkot,MBBS,Reported,-,-,-
2474,2861,All India,"GRANT MEDICAL COLL & SIR J.J.HOSP,MUMBAI",MBBS,Not Reported,-,-,-
2475,2862,All India,"STANLEY MEDICAL COLLEGE, CHENNAI",MBBS,Not Reported,-,-,-
2476,2863,Delhi University Quota,"University College of Medical Sciences, New Delhi",MBBS,Reported,-,-,-
2477,2864,Open Seat Quota,"AIIMS, Rai Bareli",MBBS,Reported,Open,GN,19
2478,2865,All India,"GOVT.MEDICAL COLLEGE,THIRUVA NANTHAPURAM",MBBS,Not Reported,-,-,-
2479,2866,Open Seat Quota,"AIIMS, Bibi Nagar, Hyderabad",MBBS,Reported,-,-,-
2480,2867,All India,"ESIC Medical College, Faridabad",MBBS,Reported,-,-,-
2481,2868,All India,"GRANT MEDICAL COLL & SIR J.J.HOSP,MUMBAI",MBBS,Reported,OBC,OBC,1
2482,2869,Open Seat Quota,AIIMS Mangalagiri,MBBS,Reported,-,-,-
2483,2870,Open Seat Quota,"Jawaharlal Nehru Medical College, AMU,ALIGARH",MBBS,Not Reported,-,-,-
2484,2871,All India,"GOVT.MEDICAL COLLEGE, AMRITSAR",MBBS,Reported,OBC,OBC,8
2485,2872,Open Seat Quota,"AIIMS, Gorakhpur",MBBS,Not Reported,-,-,-
2486,2873,-,-,-,-,OBC,OBC,9
2487,2874,Open Seat Quota,"AIIMS, Rai Bareli",MBBS,Reported,-,-,-
2488,2878,-,-,-,-,Open,GN,4
2489,2879,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,-
2490,2881,Open Seat Quota,"AIIMS, Rai Bareli",MBBS,Reported,-,-,-
2491,2884,Open Seat Quota,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh",MBBS,Reported,Open,GN,8
2492,2885,All India,"M.G.M. MEDICAL COLLEGE, INDORE",MBBS,Seat Surrendered,-,-,-
2493,2886,Open Seat Quota,AIIMS Mangalagiri,MBBS,Reported,-,-,-
2494,2887,All India,"S.C.B. MEDICAL COLLEGE, CUTTACK",MBBS,Reported,-,-,-
2495,2889,All India,"GOVT. MEDICAL COLLEGE, KOTTAYAM",MBBS,Not Reported,-,-,-
2496,2890,Open Seat Quota,"AIIMS, Rai Bareli",MBBS,Reported,-,-,-
2497,2894,All India,"MADURAI MEDICAL COLLEGE, MADURAI",MBBS,Not Reported,-,-,-
2498,2895,All India,"INST OF PG MED EDU & RESEARCH,KOLKAT A",MBBS,Not Reported,-,-,-
2499,2896,-,-,-,-,Open,GN,19
2500,2897,All India,"KARNATAK INST. OF MEDICAL SC.,HUBLI",MBBS,Reported,-,-,-
2501,2898,-,-,-,-,Open,GN,17
2502,2899,All India,"TOPIWALA NATIONAL MEDICAL COLLEGE,MUMBAI",MBBS,Not Reported,-,-,-
2503,2900,-,-,-,-,Open,GN,11
2504,2901,Open Seat Quota,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh",MBBS,Not Reported,Open,OBC,15
2505,2902,Open Seat Quota,"AIIMS, Gorakhpur",MBBS,Reported,-,-,-
2506,2907,All India,"DR.S.N. MEDICAL COLLEGE, JODHPUR",MBBS,Reported,-,-,-
2507,2908,Open Seat Quota,"AIIMS, Rai Bareli",MBBS,Reported,Open,GN,24
2508,2909,Open Seat Quota,"Jawaharlal Nehru Medical College, AMU,ALIGARH",MBBS,Reported,-,-,-
2509,2910,Open Seat Quota,"AIIMS, Rai Bareli",MBBS,Not Reported,-,-,-
2510,2911,-,-,-,-,Open,GN,10
2511,2912,Open Seat Quota,"AIIMS-Bhopal,",MBBS,Reported,-,-,-
2512,2913,Open Seat Quota,"AIIMS, Rai Bareli",MBBS,Reported,-,-,-
2513,2914,Delhi University Quota,"Lady Hardinge Medical College, New Delhi",MBBS,Reported,-,-,-
2514,2915,-,-,-,-,Open,OBC,2
2515,2917,All India,"Pt. D.D.U MEDICAL COLLEGE, RAJKOT",MBBS,Not Reported,Open,GN,1
2516,2918,"IP
University Quota","Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC",MBBS,Reported,-,-,-
2517,2919,All India,"MADRAS MEDICAL COLLEGE, CHENNAI",MBBS,Not Reported,-,-,-
2518,2921,-,-,-,-,Open,OBC,10
2519,2924,Open Seat Quota,"AIIMS, Rai Bareli",MBBS,Not Reported,OBC,OBC,14
2520,2925,Open Seat Quota,"Jawaharlal Nehru Medical College, AMU,ALIGARH",MBBS,Reported,-,-,-
2521,2928,Open Seat Quota,"Jawaharlal Nehru Medical College, AMU,ALIGARH",MBBS,Not Reported,-,-,-
2522,2931,Open Seat Quota,"AIIMS, Gorakhpur",MBBS,Not Reported,OBC,OBC,13
2523,2933,Open Seat Quota,"AIIMS, Rai Bareli",MBBS,Not Reported,-,-,-
2524,2934,"IP
University Quota","Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL, NEW DELHI",MBBS,Reported,-,-,-
2525,2935,Delhi NCR Children/Wi dows of Personnel of the Armed Forces (CW) Quota,"University College of Medical Sciences, New Delhi",MBBS,Reported,-,-,-
2526,2936,All India,"GOVT. MEDICAL COLLEGE, NAGPUR",MBBS,Not Reported,Open,GN,14
2527,2939,Open Seat Quota,"AIIMS, Gorakhpur",MBBS,Reported,OBC,OBC,15
2528,2940,Delhi University Quota,"Lady Hardinge Medical College, New Delhi",MBBS,Reported,-,-,-
2529,2941,-,-,-,-,OBC,OBC,12
2530,2942,Open Seat Quota,"AIIMS, Gorakhpur",MBBS,Reported,-,-,-
2531,2943,Open Seat Quota,"Jawaharlal Nehru Medical College, AMU,ALIGARH",MBBS,Not Reported,-,-,-
2532,2944,All India,"PT. B.D. SHARMA PGIMS, ROHTAK",MBBS,Not Reported,-,-,-
2533,2946,Open Seat Quota,"AIIMS, Gorakhpur",MBBS,Reported,-,-,-
2534,2948,Open Seat Quota,"AIIMS, Jodhpur",MBBS,Reported,-,-,-
2535,2949,Delhi University Quota,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
2536,2951,All India,"R.N.T. MEDICAL COLLEGE, UDAIPUR",MBBS,Reported,Open,GN,8
2537,2952,Open Seat Quota,AIIMS Rajkot,MBBS,Reported,-,-,-
2538,2955,Open Seat Quota,"AIIMS, Jodhpur",MBBS,Reported,-,-,-
2539,2956,Open Seat Quota,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh",MBBS,Reported,-,-,-
2540,2957,Open Seat Quota,"Jawaharlal Nehru Medical College, AMU,ALIGARH",MBBS,Not Reported,-,-,-
2541,2958,Open Seat Quota,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh",MBBS,Reported,-,-,-
2542,2959,Open Seat Quota,"AIIMS, Rai Bareli",MBBS,Not Reported,-,-,-
2543,2960,Open Seat Quota,"AIIMS, Gorakhpur",MBBS,Reported,-,-,-
2544,2961,Open Seat Quota,"AIIMS, Kalyani",MBBS,Reported,-,-,-
2545,2963,Open Seat Quota,"AIIMS, Deogarh",MBBS,Not Reported,Open,GN,22
2546,2964,Open Seat Quota,"Jawaharlal Nehru Medical College, AMU,ALIGARH",MBBS,Reported,-,-,-
2547,2965,All India,"INST OF PG MED EDU & RESEARCH,KOLKAT A",MBBS,Not Reported,-,-,-
2548,2968,Open Seat Quota,"AIIMS, Rai Bareli",MBBS,Not Reported,-,-,-
2549,2969,All India,"Govt. Medical College, Srinagar",MBBS,Reported,-,-,-
2550,2970,-,-,-,-,OBC,OBC,14
2551,2971,Open Seat Quota,AIIMS Mangalagiri,MBBS,Reported,-,-,-
2552,2974,Open Seat Quota,"AIIMS, Gorakhpur",MBBS,Reported,-,-,-
2553,2975,Open Seat Quota,AIIMS Rajkot,MBBS,Reported,-,-,-
2554,2976,Open Seat Quota,"AIIMS, Gorakhpur",MBBS,Reported,-,-,-
2555,2977,Open Seat Quota,"AIIMS, Gorakhpur",MBBS,Reported,-,-,-
2556,2979,Open Seat Quota,AIIMS Rajkot,MBBS,Reported,-,-,-
2557,2980,Open Seat Quota,"AIIMS, Rai Bareli",MBBS,Not Reported,Open,GN,4
2558,2981,-,-,-,-,Open,GN,18
2559,2982,-,-,-,-,Open,GN,14
2560,2984,Open Seat Quota,"AIIMS, Rai Bareli",MBBS,Not Reported,Open,GN,8
2561,2985,All India,"GRANT MEDICAL COLL & SIR J.J.HOSP,MUMBAI",MBBS,Not Reported,-,-,-
2562,2988,All India,"GOVERNMENT MEDICAL COLLEGE, SURAT",MBBS,Reported,Open,GN,9
2563,2990,Open Seat Quota,"AIIMS, Gorakhpur",MBBS,Reported,-,-,-
2564,2991,Open Seat Quota,"AIIMS, Rai Bareli",MBBS,Not Reported,Open,GN,15
2565,2992,All India,"PATNA MEDICAL COLLEGE, PATNA",MBBS,Reported,-,-,-
2566,2994,Open Seat Quota,"Jawaharlal Nehru Medical College, AMU,ALIGARH",MBBS,Reported,-,-,-
2567,2997,Open Seat Quota,AIIMS Mangalagiri,MBBS,Reported,-,-,-
2568,2998,Open Seat Quota,"Jawaharlal Nehru Medical College, AMU,ALIGARH",MBBS,Not Reported,-,-,-
2569,3000,All India,"PATNA MEDICAL COLLEGE, PATNA",MBBS,Reported,-,-,-
2570,3001,All India,"GOVT. MEDICAL COLLEGE, KOTTAYAM",MBBS,Not Reported,-,-,-
2571,3002,Open Seat Quota,"AIIMS, Gorakhpur",MBBS,Not Reported,EWS,EWS,9
2572,3003,All India,"GOVT.MEDICAL COLLEGE,THIRUVA NANTHAPURAM",MBBS,Not Reported,-,-,-
2573,3004,All India,"PT. B.D. SHARMA PGIMS, ROHTAK",MBBS,Not Reported,Open,OBC,13
2574,3005,All India,"PATNA MEDICAL COLLEGE, PATNA",MBBS,Reported,-,-,-
2575,3008,Open Seat Quota,AIIMS Guahawti,MBBS,Not Reported,Open,GN,8
2576,3010,Open Seat Quota,"AIIMS, Gorakhpur",MBBS,Reported,-,-,-
2577,3011,Open Seat Quota,"AIIMS, Deogarh",MBBS,Not Reported,Open,GN,21
2578,3012,Open Seat Quota,"Jawaharlal Nehru Medical College, AMU,ALIGARH",MBBS,Reported,-,-,-
2579,3013,-,-,-,-,Open,GN,7
2580,3014,All India,Osmania Medical College Koti,MBBS,Not Reported,-,-,-
2581,3015,Open Seat Quota,"Jawaharlal Nehru Medical College, AMU,ALIGARH",MBBS,Not Reported,-,-,-
2582,3016,Open Seat Quota,"AIIMS, Gorakhpur",MBBS,Reported,EWS,EWS,7
2583,3017,Open Seat Quota,"AIIMS, Kalyani",MBBS,Reported,-,-,-
2584,3021,Open Seat Quota,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh",MBBS,Reported,-,-,-
2585,3023,All India,"Shri Atal Bihari Vajpayee Medical College & Research Institute, Bengaluru",MBBS,Not Reported,-,-,-
2586,3024,All India,Osmania Medical College Koti,MBBS,Reported,Open,GN,5
2587,3025,-,-,-,-,Open,GN,12
2588,3027,Open Seat Quota,"AIIMS, Gorakhpur",MBBS,Reported,-,-,-
2589,3028,Open Seat Quota,"Jawaharlal Nehru Medical College, AMU,ALIGARH",MBBS,Seat Surrendered,Open,GN,15
2590,3029,All India,Osmania Medical College Koti,MBBS,Not Reported,-,-,-
2591,3030,Open Seat Quota,AIIMS Mangalagiri,MBBS,Reported,Open,OBC,2
2592,3031,Open Seat Quota,"AIIMS, Gorakhpur",MBBS,Reported,-,-,-
2593,3032,Open Seat Quota,"AIIMS, Gorakhpur",MBBS,Reported,-,-,-
2594,3034,Open Seat Quota,AIIMS Mangalagiri,MBBS,Reported,-,-,-
2595,3035,Open Seat Quota,"AIIMS, Gorakhpur",MBBS,Reported,-,-,-
2596,3036,All India,"MADURAI MEDICAL COLLEGE, MADURAI",MBBS,Reported,-,-,-
2597,3039,All India,"GOVT. MEDICAL COLLEGE, NAGPUR",MBBS,Reported,Open,GN,15
2598,3040,Open Seat Quota,"AIIMS, Rai Bareli",MBBS,Not Reported,-,-,-
2599,3041,Open Seat Quota,AIIMS Mangalagiri,MBBS,Reported,-,-,-
2600,3042,All India,"COIMBATORE MEDICAL COLLEGE,COIMBAT ORE",MBBS,Reported,-,-,-
2601,3043,-,-,-,-,Open,GN,6
2602,3044,Open Seat Quota,"AIIMS, Deogarh",MBBS,Reported,-,-,-
2603,3045,All India,"INST OF PG MED EDU & RESEARCH,KOLKAT A",MBBS,Reported,OBC,OBC,12
2604,3046,Open Seat Quota,"AIIMS, Rishikesh",MBBS,Reported,-,-,-
2605,3047,Delhi University Quota,"Lady Hardinge Medical College, New Delhi",MBBS,Seat Surrendered,-,-,-
2606,3050,Open Seat Quota,"AIIMS, Kalyani",MBBS,Reported,-,-,-
2607,3051,Open Seat Quota,"AIIMS, Deogarh",MBBS,Reported,-,-,-
2608,3054,All India,"GOVT. MEDICAL COLLEGE, KOTTAYAM",MBBS,Not Reported,-,-,-
2609,3056,All India,"L.L.R.M. MEDICAL COLLEGE, MEERUT",MBBS,Reported,-,-,-
2610,3057,Open Seat Quota,"AIIMS, Bibi Nagar, Hyderabad",MBBS,Not Reported,-,-,-
2611,3058,All India,"Shri Atal Bihari Vajpayee Medical College & Research Institute, Bengaluru",MBBS,Not Reported,-,-,-
2612,3059,All India,"GOVT. VELLORE MEDICAL COLLEGE, VELLORE",MBBS,Not Reported,-,-,-
2613,3060,Open Seat Quota,"AIIMS-Bhopal,",MBBS,Reported,-,-,-
2614,3061,Open Seat Quota,"AIIMS, Deogarh",MBBS,Reported,Open,GN,3
2615,3062,All India,"GOVT. MEDICAL COLLEGE, NAGPUR",MBBS,Not Reported,-,-,-
2616,3064,Open Seat Quota,"AIIMS, Kalyani",MBBS,Reported,-,-,-
2617,3067,Open Seat Quota,JIPMER KARAIKAL,MBBS,Not Reported,OBC,OBC,7
2618,3068,"Aligarh Muslim University (AMU)
Quota","Jawaharlal Nehru Medical College, AMU,ALIGARH",MBBS,Reported,Open,OBC,1
2619,3069,All India,"Dr Ram Manohar Lohia Inst. of Med. Sce., Lucknow",MBBS,Reported,Open,EWS,7
2620,3071,All India,"KARNATAK INST. OF MEDICAL SC.,HUBLI",MBBS,Not Reported,-,-,-
2621,3074,All India,"Hinduhridayasamrat Balasaheb Thackeray Medical College and Dr. R. N. Cooper Municipal General Hospital, Maharashtra",MBBS,Not Reported,-,-,-
2622,3075,All India,"GOVERNMENT MEDICAL COLLEGE, SURAT",MBBS,Not Reported,-,-,-
2623,3076,Open Seat Quota,"AIIMS, Gorakhpur",MBBS,Reported,EWS,EWS,14
2624,3078,Open Seat Quota,"AIIMS, Jodhpur",MBBS,Reported,-,-,-
2625,3079,All India,"R.N.T. MEDICAL COLLEGE, UDAIPUR",MBBS,Reported,Open,GN,9
2626,3080,-,-,-,-,Open,GN,14
2627,3082,All India,Osmania Medical College Koti,MBBS,Not Reported,Open,GN,21
2628,3083,-,-,-,-,Open,GN,4
2629,3085,All India,"MADURAI MEDICAL COLLEGE, MADURAI",MBBS,Not Reported,-,-,-
2630,3086,Open Seat Quota,"AIIMS, Gorakhpur",MBBS,Reported,-,-,-
2631,3087,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,-
2632,3090,Open Seat Quota,JIPMER KARAIKAL,MBBS,Not Reported,-,-,-
2633,3091,All India,"R.N.T. MEDICAL COLLEGE, UDAIPUR",MBBS,Reported,-,-,-
2634,3092,Open Seat Quota,"AIIMS, Gorakhpur",MBBS,Reported,-,-,-
2635,3093,All India,"SARDAR PATEL MEDICAL COLLEGE, BIKANER",MBBS,Reported,-,-,-
2636,3094,All India,"MOTI LAL NEHRU MEDICAL COLL, ALLAHABAD",MBBS,Reported,Open,GN,18
2637,3095,Open Seat Quota,AIIMS Mangalagiri,MBBS,Reported,-,-,-
2638,3096,Delhi University Quota,"Lady Hardinge Medical College, New Delhi",MBBS,Reported,-,-,-
2639,3098,Delhi University Quota,"Lady Hardinge Medical College, New Delhi",MBBS,Reported,-,-,-
2640,3099,-,-,-,-,OBC,OBC,15
2641,3100,All India,"GOVERNMENT MEDICAL COLLEGE, SURAT",MBBS,Seat Surrendered,Open,GN,1
2642,3103,All India,"MADURAI MEDICAL COLLEGE, MADURAI",MBBS,Not Reported,Open,GN,7
2643,3104,All India,"Andhra Medical College, Visakhapatnam",MBBS,Reported,-,-,-
2644,3106,-,-,-,-,Open,GN,17
2645,3107,Open Seat Quota,"AIIMS, Gorakhpur",MBBS,Not Reported,Open,OBC,3
2646,3109,Open Seat Quota,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh",MBBS,Reported,-,-,-
2647,3110,All India,"Pt. D.D.U MEDICAL COLLEGE, RAJKOT",MBBS,Not Reported,Open,GN,1
2648,3112,Open Seat Quota,"AIIMS, Deogarh",MBBS,Reported,-,-,-
2649,3113,All India,Osmania Medical College Koti,MBBS,Not Reported,OBC,OBC,16
2650,3114,All India,"Indira Gandhi Institute of Medical Sciences, Patna",MBBS,Not Reported,-,-,-
2651,3115,Open Seat Quota,"AIIMS, Gorakhpur",MBBS,Reported,-,-,-
2652,3116,Open Seat Quota,"AIIMS, Deogarh",MBBS,Not Reported,Open,GN,22
2653,3117,All India,"SARDAR PATEL MEDICAL COLLEGE, BIKANER",MBBS,Reported,-,-,-
2654,3118,Open Seat Quota,"AIIMS, Gorakhpur",MBBS,Not Reported,-,-,-
2655,3119,-,-,-,-,Open,GN,23
2656,3120,All India,"GOVT.MEDICAL COLLEGE,THIRUVA NANTHAPURAM",MBBS,Not Reported,OBC,OBC,3
2657,3121,All India,"GOVT. MEDICAL COLLEGE,PATIALA",MBBS,Reported,Open,GN,2
2658,3122,All India,"R.N.T. MEDICAL COLLEGE, UDAIPUR",MBBS,Not Reported,Open,GN,14
2659,3124,All India,"Dr Ram Manohar Lohia Inst. of Med. Sce., Lucknow",MBBS,Not Reported,-,-,-
2660,3125,Open Seat Quota,"AIIMS, Kalyani",MBBS,Reported,-,-,-
2661,3126,All India,"KARNATAK INST. OF MEDICAL SC.,HUBLI",MBBS,Not Reported,-,-,-
2662,3127,Open Seat Quota,AIIMS Guahawti,MBBS,Not Reported,-,-,-
2663,3128,Open Seat Quota,AIIMS Mangalagiri,MBBS,Reported,-,-,-
2664,3132,-,-,-,-,Open,OBC,9
2665,3133,All India,"GOVT. MEDICAL COLLEGE, NAGPUR",MBBS,Reported,Open,GN,16
2666,3134,-,-,-,-,Open,GN,12
2667,3136,All India,"GRANT MEDICAL COLL & SIR J.J.HOSP,MUMBAI",MBBS,Not Reported,Open,OBC,12
2668,3138,All India,"University College of Medical Sciences, New Delhi",MBBS,Reported,-,-,-
2669,3139,All India,"GOVT.MEDICAL COLLEGE, THRISSUR",MBBS,Not Reported,-,-,-
2670,3140,All India,"Dr Ram Manohar Lohia Inst. of Med. Sce., Lucknow",MBBS,Not Reported,Open,OBC,1
2671,3141,Open Seat Quota,"AIIMS, Gorakhpur",MBBS,Reported,-,-,-
2672,3143,All India,"S.N. MEDICAL COLLEGE, AGRA",MBBS,Reported,-,-,-
2673,3144,Open Seat Quota,"AIIMS, Deogarh",MBBS,Not Reported,Open,GN,16
2674,3147,Open Seat Quota,AIIMS Mangalagiri,MBBS,Reported,EWS,EWS,14
2675,3148,All India,"DR.S.N. MEDICAL COLLEGE, JODHPUR",MBBS,Reported,-,-,-
2676,3149,All India,"GOVT. KILPAUK MEDICAL COLLEGE,CHENNAI",MBBS,Reported,-,-,-
2677,3151,Open Seat Quota,"AIIMS, Kalyani",MBBS,Reported,-,-,-
2678,3152,All India,"RUHS College of Medical Sciences, Jaipur",MBBS,Not Reported,-,-,-
2679,3153,Open Seat Quota,"AIIMS, Deogarh",MBBS,Reported,-,-,-
2680,3154,All India,"Hinduhridayasamrat Balasaheb Thackeray Medical College and Dr. R. N. Cooper Municipal General Hospital, Maharashtra",MBBS,Reported,-,-,-
2681,3155,All India,"GOVT. MEDICAL COLLEGE, NAGPUR",MBBS,Not Reported,-,-,-
2682,3156,Open Seat Quota,AIIMS Guahawti,MBBS,Reported,-,-,-
2683,3157,All India,"GRANT MEDICAL COLL & SIR J.J.HOSP,MUMBAI",MBBS,Not Reported,-,-,-
2684,3158,Open Seat Quota,"AIIMS, Gorakhpur",MBBS,Reported,-,-,-
2685,3159,-,-,-,-,Open,GN,2
2686,3160,Open Seat Quota,"AIIMS, Bibi Nagar, Hyderabad",MBBS,Reported,-,-,-
2687,3165,Open Seat Quota,"AIIMS, Rai Bareli",MBBS,Seat Surrendered,-,-,-
2688,3166,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
2689,3167,Open Seat Quota,"AIIMS, Bibi Nagar, Hyderabad",MBBS,Not Reported,OBC,OBC,6
2690,3169,All India,"PATNA MEDICAL COLLEGE, PATNA",MBBS,Reported,-,-,-
2691,3170,-,-,-,-,Open,GN,13
2692,3172,All India,"Maulana Azad Institute of Dental Sciences, New Delhi",BDS,Not Reported,-,-,-
2693,3173,Open Seat Quota,"AIIMS, Gorakhpur",MBBS,Reported,-,-,-
2694,3175,Delhi University Quota,"Lady Hardinge Medical College, New Delhi",MBBS,Reported,-,-,-
2695,3176,Delhi University Quota,"Lady Hardinge Medical College, New Delhi",MBBS,Reported,-,-,-
2696,3177,All India,"S.N. MEDICAL COLLEGE, AGRA",MBBS,Reported,Open,GN,11
2697,3179,Open Seat Quota,AIIMS Guahawti,MBBS,Reported,-,-,-
2698,3180,All India,"JAWAHAR LAL NEHRU MEDICAL, AJMER",MBBS,Not Reported,-,-,-
2699,3181,Open Seat Quota,"AIIMS, Madurai",MBBS,Not Reported,-,-,-
2700,3182,Open Seat Quota,"AIIMS, Rai Bareli",MBBS,Reported,EWS,EWS,9
2701,3183,Open Seat Quota,"AIIMS, Deogarh",MBBS,Reported,Open,GN,16
2702,3184,All India,"GOVT.MEDICAL COLLEGE, KOTA",MBBS,Not Reported,Open,GN,21
2703,3185,All India,"Dr Ram Manohar Lohia Inst. of Med. Sce., Lucknow",MBBS,Reported,-,-,-
2704,3186,-,-,-,-,Open,GN,9
2705,3188,All India,"GOVT.MEDICAL COLLEGE,THIRUVA NANTHAPURAM",MBBS,Not Reported,-,-,-
2706,3189,All India,"University College of Medical Sciences, New Delhi",MBBS,Reported,-,-,-
2707,3190,Delhi University Quota,"Lady Hardinge Medical College, New Delhi",MBBS,Reported,-,-,-
2708,3191,Delhi University Quota,"Lady Hardinge Medical College, New Delhi",MBBS,Reported,-,-,-
2709,3192,All India,"STANLEY MEDICAL COLLEGE, CHENNAI",MBBS,Not Reported,-,-,-
2710,3193,Open Seat Quota,"AIIMS, Gorakhpur",MBBS,Reported,-,-,-
2711,3194,Open Seat Quota,"AIIMS, Kalyani",MBBS,Reported,-,-,-
2712,3195,All India,"T.D. MEDICAL COLLEGE,
ALLAPPUZHA",MBBS,Reported,Open,GN,5
2713,3196,Open Seat Quota,AIIMS Mangalagiri,MBBS,Reported,-,-,-
2714,3197,Open Seat Quota,AIIMS Jammu,MBBS,Not Reported,Open,GN,11
2715,3198,Open Seat Quota,"AIIMS, Rai Bareli",MBBS,Reported,EWS,EWS,14
2716,3199,All India,"GRANT MEDICAL COLL & SIR J.J.HOSP,MUMBAI",MBBS,Not Reported,-,-,-
2717,3200,All India,"DR.S.N. MEDICAL COLLEGE, JODHPUR",MBBS,Reported,-,-,-
2718,3201,Delhi University Quota,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,-
2719,3202,All India,"GOVT.MEDICAL COLLEGE, KOTA",MBBS,Not Reported,-,-,-
2720,3203,Open Seat Quota,JIPMER KARAIKAL,MBBS,Not Reported,-,-,-
2721,3204,Open Seat Quota,AIIMS Guahawti,MBBS,Not Reported,Open,GN,8
2722,3205,All India,"MADURAI MEDICAL COLLEGE, MADURAI",MBBS,Reported,-,-,-
2723,3207,"IP
University Quota","Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL, NEW DELHI",MBBS,Reported,-,-,-
2724,3209,Open Seat Quota,"AIIMS, Rai Bareli",MBBS,Reported,-,-,-
2725,3210,Delhi University Quota,"Lady Hardinge Medical College, New Delhi",MBBS,Reported,-,-,-
2726,3211,All India,"G.S.V.M. MEDICAL COLLEGE, KANPUR",MBBS,Not Reported,-,-,-
2727,3212,All India,"M.G.M. MEDICAL COLLEGE, INDORE",MBBS,Seat Surrendered,Open,GN,17
2728,3213,All India,"GOVERNMENT MEDICAL COLLEGE, SURAT",MBBS,Not Reported,Open,GN,14
2729,3214,Open Seat Quota,"AIIMS, Deogarh",MBBS,Reported,-,-,-
2730,3215,All India,"GOVT.MEDICAL COLLEGE, THRISSUR",MBBS,Not Reported,-,-,-
2731,3216,-,-,-,-,Open,OBC,8
2732,3217,All India,"GOVT. KILPAUK MEDICAL COLLEGE,CHENNAI",MBBS,Not Reported,-,-,-
2733,3218,Open Seat Quota,"AIIMS, Gorakhpur",MBBS,Reported,-,-,-
2734,3219,Open Seat Quota,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh",MBBS,Reported,-,-,-
2735,3221,All India,"GOVT.MEDICAL COLLEGE, AMRITSAR",MBBS,Reported,Open,GN,19
2736,3222,All India,Bangalore Medical College and Research Institute,MBBS,Not Reported,EWS,EWS,3
2737,3224,-,-,-,-,EWS,EWS,13
2738,3225,All India,"GOVERNMENT MEDICAL COLLEGE, SURAT",MBBS,Reported,-,-,-
2739,3226,Open Seat Quota,AIIMS Guahawti,MBBS,Reported,-,-,-
2740,3227,All India,"University College of Medical Sciences, New Delhi",MBBS,Reported,-,-,-
2741,3228,Open Seat Quota,"AIIMS, Gorakhpur",MBBS,Reported,Open,OBC,17
2742,3230,Open Seat Quota,"AIIMS, Gorakhpur",MBBS,Reported,-,-,-
2743,3231,All India,"Govt institute of Medcial Sciences, GREATER NOIDA",MBBS,Not Reported,-,-,-
2744,3232,Open Seat Quota,"AIIMS, Deogarh",MBBS,Not Reported,-,-,-
2745,3234,Open Seat Quota,AIIMS Mangalagiri,MBBS,Reported,-,-,-
